battingteam,bowlingteam,matchid,batsmanname,0
Chennai Super Kings,Sunrisers Hyderabad,1136580,SK Raina,125.0
Chennai Super Kings,Sunrisers Hyderabad,1136580,SR Watson,62.5
Chennai Super Kings,Sunrisers Hyderabad,1136606,AT Rayudu,161.29032258064515
Chennai Super Kings,Sunrisers Hyderabad,1136606,MS Dhoni,140.0
Chennai Super Kings,Sunrisers Hyderabad,1136606,SK Raina,66.66666666666666
Chennai Super Kings,Sunrisers Hyderabad,1136606,SR Watson,162.85714285714286
Chennai Super Kings,Sunrisers Hyderabad,1136617,AT Rayudu,0.0
Chennai Super Kings,Sunrisers Hyderabad,1136617,DJ Bravo,63.63636363636363
Chennai Super Kings,Sunrisers Hyderabad,1136617,DL Chahar,166.66666666666669
Chennai Super Kings,Sunrisers Hyderabad,1136617,F du Plessis,158.13953488372093
Chennai Super Kings,Sunrisers Hyderabad,1136617,Harbhajan Singh,33.33333333333333
Chennai Super Kings,Sunrisers Hyderabad,1136617,MS Dhoni,57.89473684210527
Chennai Super Kings,Sunrisers Hyderabad,1136617,RA Jadeja,60.0
Chennai Super Kings,Sunrisers Hyderabad,1136617,SK Raina,164.28571428571428
Chennai Super Kings,Sunrisers Hyderabad,1136617,SN Thakur,300.0
Chennai Super Kings,Sunrisers Hyderabad,1136617,SR Watson,0.0
Chennai Super Kings,Sunrisers Hyderabad,1136620,AT Rayudu,89.47368421052632
Chennai Super Kings,Sunrisers Hyderabad,1136620,F du Plessis,100.0
Chennai Super Kings,Sunrisers Hyderabad,1136620,SK Raina,133.33333333333331
Chennai Super Kings,Sunrisers Hyderabad,1136620,SR Watson,201.66666666666666
Chennai Super Kings,Sunrisers Hyderabad,1178408,AT Rayudu,119.04761904761905
Chennai Super Kings,Sunrisers Hyderabad,1178408,F du Plessis,151.61290322580646
Chennai Super Kings,Sunrisers Hyderabad,1178408,KM Jadhav,50.0
Chennai Super Kings,Sunrisers Hyderabad,1178408,RA Jadeja,59.09090909090909
Chennai Super Kings,Sunrisers Hyderabad,1178408,SK Raina,100.0
Chennai Super Kings,Sunrisers Hyderabad,1178408,SR Watson,110.34482758620689
Chennai Super Kings,Sunrisers Hyderabad,1178408,SW Billings,20.0
Chennai Super Kings,Sunrisers Hyderabad,1178416,AT Rayudu,88.0
Chennai Super Kings,Sunrisers Hyderabad,1178416,F du Plessis,14.285714285714285
Chennai Super Kings,Sunrisers Hyderabad,1178416,KM Jadhav,120.0
Chennai Super Kings,Sunrisers Hyderabad,1178416,SK Raina,172.0
Chennai Super Kings,Sunrisers Hyderabad,1178416,SR Watson,181.4814814814815
